trip_id,date,time,transport_type,route_id,vehicle_id,origin_station,origin_district,origin_latitude,origin_longitude,destination_station,destination_district,destination_latitude,destination_longitude,distance_km,fare_rwf,passengers_carried,scheduled_departure,scheduled_arrival,actual_departure_delay_min,actual_arrival_delay_min,weather_condition,temperature_C,humidity_percent,wind_speed_kmh,precipitation_mm,event_type,event_attendance_est,traffic_congestion_index,holiday,peak_hour,weekday,season,delayed
T00000,2023-01-01,05:00:00,Moto,KK 15 Rd,RAB196F,Kanogo,Nyarugenge,-1.940313,30.032369,Gitega,Nyarugenge,-1.95571,30.054928,3.04,1060,1,05:02:00,05:55:00,12,3,Storm,16.4,52,46,13.0,None,500,81,0,1,6,Winter,0
T00001,2023-01-01,05:15:00,Taxi,KG 550 St,RAC192G,Bumbogo,Gasabo,-1.887542,30.098288,Kigali Heights,Gasabo,-1.950484,30.090509,7.05,3820,2,05:16:00,05:55:00,15,9,Rain,29.0,64,11,11.4,None,0,53,0,0,6,Autumn,1
T00002,2023-01-01,05:30:00,Bus,KK 28 Ave,RAD690G,Sonatube,Kicukiro,-1.966039,30.102743,Cyahafi,Nyarugenge,-1.956661,30.035765,7.52,650,9,05:33:00,06:17:00,0,0,Clear,27.0,35,31,14.1,Sports,0,67,1,0,6,Autumn,0
T00003,2023-01-01,05:45:00,Moto,RN1 (Kigali-Muhanga Rd),RAB247B,Kigali International Airport,Kicukiro,-1.965742,30.136779,Jabana,Gasabo,-1.897849,30.043738,12.8,3500,1,05:49:00,06:08:00,15,10,Clear,26.1,55,41,6.4,None,500,84,0,0,6,Winter,1
T00004,2023-01-01,06:00:00,Taxi,KG 11 Ave,RAC481B,Jabana,Gasabo,-1.901149,30.046897,Nyarutarama,Gasabo,-1.938916,30.10949,8.13,4250,2,06:00:00,06:35:00,-1,14,Heavy Rain,14.2,90,30,18.5,None,500,46,0,0,6,Spring,1
T00005,2023-01-01,06:15:00,Taxi,KK 33 Ave,RAC576H,Kigali Heights,Gasabo,-1.947614,30.091714,Kagunga,Gasabo,-1.910022,30.11019,4.66,2860,3,06:15:00,06:56:00,7,4,Rain,25.2,44,21,2.3,Protest,0,41,0,0,6,Spring,0
T00006,2023-01-01,06:30:00,Bus,KN 78 St,RAD407H,Kagarama,Kicukiro,-1.976201,30.091766,Kigali Heights,Gasabo,-1.946806,30.089465,3.28,400,26,06:34:00,07:01:00,8,28,Storm,15.7,61,16,6.4,Parade,0,22,1,1,6,Spring,1
T00007,2023-01-01,06:45:00,Bus,KK 28 Ave,RAD268F,Nyanza (Kicukiro),Kicukiro,-1.988623,30.118728,Remera,Gasabo,-1.951119,30.105708,4.41,460,21,06:47:00,07:20:00,0,23,Clear,29.0,41,19,0.6,None,0,85,0,0,6,Spring,1
T00008,2023-01-01,07:00:00,Moto,KG 7 Ave,RAB671F,Kagugu,Gasabo,-1.9104,30.07453,Kabeza,Kicukiro,-1.977228,30.112466,8.54,2440,1,07:01:00,07:59:00,4,19,Clear,12.9,34,19,5.4,Concert,500,64,0,0,6,Summer,1
T00009,2023-01-01,07:15:00,Bus,KG 11 Ave,RAD195E,Gatenga,Kicukiro,-1.978828,30.085566,Kimironko,Gasabo,-1.934521,30.117737,6.09,570,34,07:17:00,08:12:00,5,3,Fog,18.1,93,42,4.4,None,50000,88,0,0,6,Summer,0
T00010,2023-01-01,07:30:00,Moto,KK 432 St,RAB691H,Niboye,Kicukiro,-1.986818,30.09739,Kicukiro Centre,Kicukiro,-1.980613,30.101858,0.85,510,1,07:30:00,08:26:00,16,8,Heavy Rain,19.5,56,7,1.0,None,0,53,0,0,6,Winter,1
